Название,Цена,Наличие,Ссылка
"Відеокарта Acer PCI-Ex Intel Arc B580 Nitro OC 12GB GDDR6 (192bit) (2740/19000) (HDMI, 3 x DisplayPort) (DP.Z4BWW.P01)",,Є в наявності,https://hard.rozetka.com.ua/ua/acer-dpz4bwwp01/p500278724/
"Відеокарта INNO3D PCI-Ex GeForce RTX 5070 Ti X3 OC 16GB GDDR7 (256bit) (2482/28000) (HDMI, 3 x DisplayPort) (N507T3-16D7X-176068N)",45 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n507t3-16d7x-176068n/p495843479/
"Відеокарта MSI PCI-Ex GeForce RTX 3050 Ventus 2X XS White 8G OC 8GB GDDR6 (128bit) (1807/14000) (HDMI, DisplayPort, DL-DVI-D) (RTX 3050 VENTUS 2X XS WHITE 8G OC)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-3050-ventus-2x-xs-white-8g-oc/p467429494/
"Відеокарта Sparkle PCI-Ex Intel Arc B580 Titan Luna OC 12GB GDDR6 (192bit) (2740) (HDMI, 3 x DisplayPort) (SB580TW-12GOC)",15 249₴,Є в наявності,https://hard.rozetka.com.ua/ua/sparkle-sb580tw-12goc/p479651209/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 3050 Windforce OC V2 6G 6GB GDDR6 (96bit) (1477/14000) (2 x HDMI, 2 x DisplayPort) (GV-N3050WF2OCV2-6GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n3050wf2ocv2-6gd/p466051569/
"Відеокарта MSI PCI-Ex GeForce RTX 4060 Ventus 2X Black 8G OC 8GB GDDR6 (128bit) (2505/17000) (HDMI, 3 x DisplayPort) (RTX 4060 VENTUS 2X BLACK 8G OC)",14 809₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-4060-ventus-2x-black-8g-oc/p384220803/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5090 Gaming OC 32GB GDDR7 (512bit) (2550/28000) (HDMI, 3 x DisplayPort) (GV-N5090GAMING OC-32GD)",135 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5090gaming-oc-32gd/p476638229/
"Відеокарта INNO3D PCI-Ex GeForce RTX 5070 Ti X3 16GB GDDR7 (256bit) (2452/28000) (HDMI, 3 x DisplayPort) (N507T3-16D7-176068N)",43 509₴,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n507t3-16d7-176068n/p495839619/
"Відеокарта Asus PCI-Ex GeForce RTX 3050 Phoenix V2 8GB GDDR6 (128bit) (1807/14000) (1 x HDMI, 1 x DisplayPort, 1 x DVI-D) (PH-RTX3050-8G-V2)",9 709₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-ph-rtx3050-8g-v2/p380066673/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti VENTUS 2X OC PLUS 8GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 8G VENTUS 2X OC PLUS)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-8g-ventus-2x-oc-plus/p503984464/
"Відеокарта INNO3D PCI-Ex GeForce RTX 5070 TWIN X2 OC 12GB GDDR7 (192bit) (2542/28000) (HDMI, 3 x DisplayPort) (N50702-12D7X-195064N)",,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n50702-12d7x-195064n/p507949994/
"Відеокарта MSI PCI-Ex GeForce RTX 4060 Ti Ventus 2X Black 8G OC 8GB GDDR6 (128bit) (2580/18000) (HDMI, 3 x DisplayPort) (RTX 4060 Ti VENTUS 2X BLACK 8G OC)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-4060-ti-ventus-2x-black-8g-oc/p380642385/
